artist_id,artist_name,artist_name_normalized
art_79ea4642f6ec,"George Clinton, Funkadelic","george clinton, funkadelic"
art_bea2cf475056,"George Clinton, Gary Fabulous & Black Slack","george clinton, gary fabulous & black slack"
art_6a73feb96eff,"George Clinton, Horny Horns","george clinton, horny horns"
art_fcf4e121ff73,"George Clinton, Jessica Cleaves","george clinton, jessica cleaves"
art_6327459e4459,"George Clinton, Junie Morrison","george clinton, junie morrison"
art_be0ed9d322c8,"George Clinton, Michael Hampton","george clinton, michael hampton"
art_40e6e89dcca3,"George Clinton, Ron Ford","george clinton, ron ford"
art_bf80a875c445,"George Clinton, Sterling Silver Starship","george clinton, sterling silver starship"
art_acdecd9205bf,"George Clinton, Treylewd","george clinton, treylewd"
art_bfcafc1e0f8e,Godmoma,godmoma
art_2bb6f7205dfb,Gotcha!,gotcha!
art_95e8cb57a3c0,Ground Zero,ground zero
art_608cb271bb7f,Hardware,hardware
art_afaa327b28e2,House Guests,house guests
art_0b30bf9b92cd,Ice Cube,ice cube
art_778fa4afe529,INCorporated Thang Band,incorporated thang band
art_a6fd6c4047bc,J.J. Barnes,j.j. barnes
art_10345b3e98f8,Jimmy G. & The Tackheads,jimmy g. & the tackheads
art_02016e9ffd83,Jimmy G. And The Tackheads,jimmy g. and the tackheads
art_2e120f293ce5,Johnny Blue Skies,johnny blue skies
art_17971ae58335,Junie Morrison,junie morrison
art_abbc0bcd7d56,K.T. Ellis,k.t. ellis
art_cc17eb66dfc7,Kacha,kacha
art_63f68448a640,Kali Uchis,kali uchis
art_b048b0081eec,Kendra Foster,kendra foster
art_1e1e59fb9940,Kendrick Lamar,kendrick lamar
art_508747dd2909,Kiddo,kiddo
art_81ecbcb6be85,Kim Manning,kim manning
art_a4edce99c089,Krunchy,krunchy
art_975f3bceb446,Kyle Jason,kyle jason
art_d1e8cc7537cd,Les Claypool,les claypool
art_a5dc787d9f32,"Lettuce, Bootsy Collins","lettuce, bootsy collins"
art_e7964b37712d,Lige Curry,lige curry
art_2534a487acec,Lili Haydn,lili haydn
art_68903d3c2833,Limbo,limbo
art_0e3ae1b4f171,Limbo Maniacs,limbo maniacs
art_17759a7c5cfd,Lindsay Lohan,lindsay lohan
art_3d0646be90a3,Maceo And All The King's Men,maceo and all the king's men
art_58c99b266aac,Maceo Parker,maceo parker
art_48a1898f0c31,Mallia Franklin,mallia franklin
art_97912524f347,Material,material
art_139bec3d8b16,Menace,menace
art_9a6d8892e14b,Michael Hampton,michael hampton
art_dbb8fe39bf79,Mico Wave,mico wave
art_907118b97cfa,Momma Stud,momma stud
art_42d7dd1058dd,Mr. Fiddler,mr. fiddler
art_59928553cbcd,Mutiny,mutiny
art_c5a643b470b2,Nona Hendryx,nona hendryx
art_068fdddb1d11,O. G. Funk (Billy Bass Nelson),o. g. funk (billy bass nelson)
art_14fef41c4f44,O.G. Soul,o.g. soul
art_726f7b7597d0,Octavepussy featuring George Clinton & Parliament Funkadelic,octavepussy featuring george clinton & parliament funkadelic
art_852155f1d54b,Original P,original p
art_c89c1ecbb6b1,Original Poder Cristiano,original poder cristiano
art_472a7729fd3e,Otis Day & the Knights,otis day & the knights
art_e0bdb1d4a20c,Otis Day and The Knights,otis day and the knights
art_7999e26db1b1,P-Funk All Stars,p-funk all stars
art_b1968a1ee235,P-Funk Guitar Army,p-funk guitar army
art_88f5b2fbe094,P.Funk All Stars,p.funk all stars
art_be77fd2b1c63,Parlet,parlet
art_7d9ac9826241,Parliament,parliament
art_d6b32868f493,Parliament Funkadelic,parliament funkadelic
art_9055f971b0b4,Parliament Funkadelic P Funk Allstars,parliament funkadelic p funk allstars
art_6327420965f6,Parliament-Funkadelic,parliament-funkadelic
art_e3b0a16787ae,Pat Lewis,pat lewis
art_1803ca2fc438,Philippe Wynne,philippe wynne
art_89b8380041d6,Philippé Wynne,philippé wynne
art_3db17442680a,Phonk King,phonk king
art_5ab323a32e0f,Praxis,praxis
art_a47b5cc8f061,Prince,prince
art_9b970a423123,Quazar,quazar
art_1add9f5a69eb,Rick Gardner,rick gardner
art_709f71550db7,Rodney Skeet Curtis,rodney skeet curtis
art_27628e31183a,Rose Williams with George Clinton And The Funkedelics,rose williams with george clinton and the funkedelics
art_5830246e791b,Ruth Copeland,ruth copeland
art_13ed85e945ee,Science Faxtion,science faxtion
art_95b52dc7b473,Sheila Horne,sheila horne
art_2ea6bc4f5891,Slave Master,slave master
art_349401a67db2,Slavemaster,slavemaster
art_0b0321015fbf,Sly & Robbie,sly & robbie
art_dc0820ec44ff,Sly Fox,sly fox
art_21c4e86b15e4,Space Cadets,space cadets
art_bfe73bfb3074,Standing On The Verge,standing on the verge
art_a64511b0e386,Starr Cullars,starr cullars
art_672fe9d7d136,Sterling Silver Starship,sterling silver starship
art_563db60acbc0,Steve Boyd,steve boyd
art_cd9e3a4fe4d2,Stevie Salas,stevie salas
art_cc7da67c75ba,Sweat Band,sweat band
art_3849f541817b,T.C. Ellis,t.c. ellis
art_e8727c572730,Tal Ross,tal ross
art_ec1e469221b7,The Debonaires,the debonaires
art_f7e6ed735b89,The Enemy Squad Presents Ultra Unit,the enemy squad presents ultra unit
art_114020487eb5,The Fantastic Four,the fantastic four
art_bea973110156,The Flaming Lips,the flaming lips
art_5d1f8437f0a1,The Goombas featuring George Clinton,the goombas featuring george clinton
art_6118e515c558,The Holidays,the holidays
art_054fe1c6cdf8,The J.B.'s,the j.b.'s
art_8e5629f2525f,The Last Poets,the last poets
art_fce87748409e,The Mamas & The Papas,the mamas & the papas
art_8c61debcea6f,The Parliaments,the parliaments
art_8f689750db67,The Space Cadets,the space cadets
art_b0fa066a0349,The Unit,the unit
art_cccfde584712,Theresa Lindsay,theresa lindsay
art_7cccc95936ea,Third Rail,third rail
art_479637f24df0,Third RailPA,third railpa
art_6b3550f04b52,Tra'zae Clinton,tra'zae clinton
art_d1ef8c0c246a,"Tra'zae Clinton, Ai Takeishi, Benjamin Lepage, Ishan Cooper","tra'zae clinton, ai takeishi, benjamin lepage, ishan cooper"
art_10e362622139,"Tra'zae Clinton, Benjamin Lepage, Bouvier Richardson, Brad Foutch, Kasino, Ricky Tan, Young Poppi","tra'zae clinton, benjamin lepage, bouvier richardson, brad foutch, kasino, ricky tan, young poppi"
art_d3005a77a3ce,"Tra'zae Clinton, BIG SCUD","tra'zae clinton, big scud"
art_2e4c259db0e4,"Tra'zae Clinton, Danny Bedrosian","tra'zae clinton, danny bedrosian"
art_3264cfa2e841,"Tra'zae Clinton, FLO C.REV","tra'zae clinton, flo c.rev"
art_71fd6f160c5f,"Tra'zae Clinton, Garrett Shider","tra'zae clinton, garrett shider"
