work_id,artist_id,artist_name,work_name
wrk_d1af3db3e6f4,art_8e4b4e9d5d4d,Bill Laswell,Little Boy Don't Get Scared
wrk_9316ffe04ac6,art_8e4b4e9d5d4d,Bill Laswell,Moody's Mood for Love
wrk_6a95232d0a33,art_8e4b4e9d5d4d,Bill Laswell,Swan Blues
wrk_639755a13ef2,art_8e4b4e9d5d4d,Bill Laswell,Twisted
wrk_5ebc026bd8ed,art_f0c0850b10fd,Bill Laswell and Bootsy Collins,The Final Frontier
wrk_634211caf88c,art_c2c66053c7da,Bootsy,
wrk_bec5579634ce,art_c2c66053c7da,Bootsy,F-Encounter
wrk_fdca686823c7,art_c2c66053c7da,Bootsy,Fat Cat
wrk_eaf37ea070a7,art_c2c66053c7da,Bootsy,Is That My Song?
wrk_8679aaf0e926,art_c2c66053c7da,Bootsy,It's A Musical
wrk_662e7f2fd16c,art_c2c66053c7da,Bootsy,Mug Push
wrk_31a3af46dcd1,art_c2c66053c7da,Bootsy,Sacred Flower
wrk_ad992e1a62f0,art_c2c66053c7da,Bootsy,Sound Crack
wrk_7189ab7d5cd4,art_c2c66053c7da,Bootsy,Ultra Wave
wrk_7f441613c5b5,art_8b0eaa82feb2,Bootsy Collins,
wrk_62e77c2e656a,art_8b0eaa82feb2,Bootsy Collins,(I Wannabee) Kissin' U
wrk_abbdafddce45,art_8b0eaa82feb2,Bootsy Collins,(IWannaBee) Kissin' You
wrk_6b76fa3b01a6,art_8b0eaa82feb2,Bootsy Collins,*-ing The 'Luv Gun'
wrk_368046672e6b,art_8b0eaa82feb2,Bootsy Collins,1st One 2 The Egg Wins (The Human Race)
wrk_9306d072a424,art_8b0eaa82feb2,Bootsy Collins,2Nite We Rise
wrk_9b9018696e36,art_8b0eaa82feb2,Bootsy Collins,A Life for da Sweet Ting
wrk_7685faed9fb8,art_8b0eaa82feb2,Bootsy Collins,A Salute To Bernie (feat. Bernie Worrell)
wrk_a32aa7b7ec20,art_8b0eaa82feb2,Bootsy Collins,After These Messages (feat. Samuel L. Jackson)
wrk_48ed029be2f0,art_8b0eaa82feb2,Bootsy Collins,Album of the Year #1 Funkateer
wrk_0183f3eb0ca3,art_8b0eaa82feb2,Bootsy Collins,Alien Flytrap
wrk_88aaacfb9619,art_8b0eaa82feb2,Bootsy Collins,All Star Funk
wrk_4f074796b8f1,art_8b0eaa82feb2,Bootsy Collins,An-Gel-Lick 'Angel'
wrk_cd2e32c7ebc0,art_8b0eaa82feb2,Bootsy Collins,Anybody Out There
wrk_669c6a468755,art_8b0eaa82feb2,Bootsy Collins,"As in ""I Love You"""
wrk_665b980cfa01,art_8b0eaa82feb2,Bootsy Collins,Back in the Day: The Best of Bootsy
wrk_054209d53ba7,art_8b0eaa82feb2,Bootsy Collins,Barbie T & Me (Tribute To Buckethead)
wrk_3db8a1a8f6c9,art_8b0eaa82feb2,Bootsy Collins,Bass-Rigged-System (feat. Victor Wooten & Stanley Clarke)
wrk_e8c232ccd958,art_8b0eaa82feb2,Bootsy Collins,BeWild
wrk_64137b1615bd,art_8b0eaa82feb2,Bootsy Collins,Bewise (feat. Robert Bewise Harding)
wrk_34b01e504a59,art_8b0eaa82feb2,Bootsy Collins,Boomerang (feat. Justin Johnson)
wrk_7217f989357a,art_8b0eaa82feb2,Bootsy Collins,Boot-A-Claus / Here 4 A Reason
wrk_868bc9f14f9e,art_8b0eaa82feb2,Bootsy Collins,Boot-A-Claus / Here 4 A Reason (feat. Baby Triggy & Fantaazma)
wrk_6580d3712bed,art_8b0eaa82feb2,Bootsy Collins,Bootdullivan Is Soopafly
wrk_55754d4f509c,art_8b0eaa82feb2,Bootsy Collins,Bootsie Get Live
